UBIGEO,POBLACION_2017,POBLACION_2018,POBLACION_2022
010101,32589,36602,40274
010102,262,283,276
010103,1136,1222,1158
010104,642,687,707
010105,585,619,575
010106,1781,1970,1910
010107,480,523,543
010108,1258,1334,1500
010109,3978,4187,3697
010110,3620,3862,3781
010111,794,830,789
010112,852,913,906
010113,1367,1474,1586
010114,2176,2320,2235
010115,496,519,472
010116,375,422,441
010117,769,819,778
010118,295,321,326
010119,580,608,581
010120,1224,1293,1243
010121,247,270,280
010201,27102,29096,30479
010202,9765,10422,9919
010203,4595,4903,4452
010204,1216,1294,1273
010205,25162,30392,33338
010206,6260,6709,6374
010301,1337,1373,1283
010302,306,323,313
010303,287,299,298
010304,772,810,835
010305,669,702,662
010306,5999,6400,6353
010307,7580,8035,7774
010308,208,220,216
010309,489,519,579
010310,1539,1630,1716
010311,874,898,775
010312,5577,5833,5645
010401,18626,21231,20264
010402,9891,11863,13122
010403,13953,17086,18696
010501,2227,2379,2345
010502,6473,7313,7644
010503,1881,2087,1983
010504,1853,2011,1838
010505,1840,1950,1875
010506,498,517,451
010507,839,898,860
010508,842,891,817
010509,3959,4147,4047
010510,388,408,398
010511,744,792,752
010512,3556,3919,3957
010513,3446,3744,3641
010514,4768,5160,4940
010515,1316,1406,1356
010516,546,576,520
010517,695,745,711
010518,633,668,571
010519,419,453,411
010520,1888,2078,2189
010521,3012,3176,2935
010522,1265,1355,1381
010523,1348,1437,1459
010601,6016,6278,6594
010602,2498,2713,2946
010603,595,628,639
010604,2620,2772,2515
010605,2280,2491,2338
010606,1631,1704,1621
010607,1506,1568,1519
010608,453,458,405
010609,8793,9603,10206
010610,512,538,526
010611,282,293,286
010612,2812,3467,4504
010701,50841,56257,58947
010702,23089,24996,23916
010703,7855,8852,8620
010704,5825,6422,6551
010705,6620,7303,7087
010706,10080,11034,11509
010707,2927,3230,3249
020101,60896,66195,69882
020102,1639,1745,1669
020103,294,314,252
020104,1600,1726,1608
020105,76088,82563,90711
020106,4781,5056,5292
020107,1066,1132,1095
020108,2351,2513,2498
020109,956,1040,973
020110,4606,5078,5328
020111,3321,3536,3456
020112,6338,7129,7848
020201,2017,2158,2184
020202,1639,1713,1538
020203,364,383,327
020204,1582,1627,1418
020205,714,751,703
020301,3288,3468,3325
020302,1918,2013,1863
020303,1368,1421,1283
020304,1851,1960,1843
020305,4067,4279,3986
020306,1158,1208,1104
020401,4563,4852,4665
020402,2815,3027,2792
020501,4023,4092,3990
020502,244,249,203
020503,994,1046,958
020504,2062,2188,1925
020505,1677,1838,1899
020506,312,318,246
020507,2313,2452,2183
